rank,name,effort,harness,vendor,openWeight,overall,dualVqa,latentSim,layout,motion,costUsd,runtimeMin,object_counting,object_abs_distance,object_size_estimation,room_size_estimation,object_rel_distance,object_rel_direction,route_planning,obj_appearance_order
37,Claude Opus 4.8,high,mini-BVB,Anthropic,False,58.46387708734198,46.41488779419814,71.90171154733333,69.9499530924691,73.85347000219755,0.4600253472222222,1.5151041666666667,28.999999999999996,33.52601156069364,60.902255639097746,30.0,41.078838174273855,51.71568627450981,54.83870967741935,16.0
38,GPT-5.2,none,mini-BVB,OpenAI,False,57.95042991999975,46.688560481663934,70.42789904452447,68.67769385377565,72.17810423527327,0.1198763888888889,1.2538136574074075,30.0,41.040462427745666,60.902255639097746,31.538461538461537,40.24896265560166,50.73529411764706,50.53763440860215,12.0
39,GPT-5.5,none,mini-BVB,OpenAI,False,57.0260398538598,42.58347016967707,73.57378767596352,71.78096874720521,75.36660660472181,0.163209375,0.7487152777777778,21.5,24.277456647398843,59.77443609022557,30.76923076923077,34.85477178423236,46.32352941176471,59.13978494623656,14.000000000000002
40,GPT-5.4,none,mini-BVB,OpenAI,False,56.79973653294515,46.63382594417077,67.96722266460873,66.32973665578497,69.60470867343247,0.20285347222222222,1.0652083333333333,23.5,41.61849710982659,64.84962406015038,43.07692307692308,32.780082987551864,48.529411764705884,50.53763440860215,16.0
41,GPT-5.4 Mini,none,mini-BVB,OpenAI,False,56.50937943914135,46.4696223316913,67.53028204871548,65.6522539547748,69.40831014265618,0.03377118055555556,0.5323032407407408,19.5,45.08670520231214,60.902255639097746,23.846153846153847,40.66390041493776,52.20588235294118,63.44086021505376,14.000000000000002
42,GLM-5V-Turbo,none,mini-BVB,Zhipu AI,False,56.465938920412626,46.79802955665024,67.04098167829216,65.41787148970697,68.66409186687734,0.27625486111111114,6.16103587962963,25.5,42.19653179190752,61.46616541353384,36.92307692307693,32.780082987551864,52.94117647058824,59.13978494623656,12.0
43,Kimi-K2.5,none,mini-BVB,Moonshot AI,True,55.9079740632181,44.006568144499184,69.23209069193237,67.6829123766058,70.78126900725894,0.15013993055555555,6.24041087962963,24.0,32.947976878612714,59.210526315789465,33.84615384615385,36.92946058091287,47.549019607843135,58.06451612903226,6.0
44,MiniMax-M3,none,mini-BVB,MiniMax,True,55.29168317022343,45.593869731800766,65.92388068222337,64.26255417884224,67.5852071856045,0.057763888888888885,3.0607349537037036,20.0,35.83815028901734,61.46616541353384,30.76923076923077,40.24896265560166,49.50980392156863,62.365591397849464,14.000000000000002
45,Grok-4.3,high,mini-BVB,xAI,False,54.075318300616466,44.71811713191023,64.32078158638129,62.789525443481075,65.85203772928152,0.10081944444444445,1.6854166666666666,22.0,36.41618497109826,57.5187969924812,32.30769230769231,41.078838174273855,50.98039215686274,52.68817204301075,12.0
46,Qwen3.5-122B,none,mini-BVB,Alibaba,True,53.499657430080326,44.11603721948549,63.787401599499084,61.965949923938346,65.60885327505983,0.22521805555555557,5.160572916666667,16.5,32.947976878612714,63.90977443609023,25.384615384615383,29.045643153526974,52.94117647058824,56.98924731182796,8.0
